Date,Open,High,Low,Close,Adj Close,Volume,change_tomorrow,change_tomorrow_direction
2022-10-26,290.0400085449219,305.6300048828125,288.0400085449219,298.6199951171875,298.6199951171875,15714100,-0.5657683915836653,DOWN
2022-10-27,298.3299865722656,305.2099914550781,294.7799987792969,296.94000244140625,296.94000244140625,14612600,-0.41255282553329664,DOWN
2022-10-28,297.70001220703125,301.19000244140625,292.2900085449219,295.7200012207031,295.7200012207031,9960500,-1.3156078777757818,DOWN
2022-10-31,295.1300048828125,297.6199951171875,289.5,291.8800048828125,291.8800048828125,7505100,-1.7890165240845635,DOWN
2022-11-01,296.1700134277344,299.70001220703125,286.4200134277344,286.75,286.75,6916400,-5.036630036630041,DOWN
2022-11-02,286.3999938964844,287.3299865722656,272.8399963378906,273.0,273.0,10367600,-1.464358313074099,DOWN
2022-11-03,271.25,276.2900085449219,268.79998779296875,269.05999755859375,269.05999755859375,7057400,-3.171129545880347,DOWN
2022-11-04,272.0199890136719,274.9700012207031,255.32000732421875,260.7900085449219,260.7900085449219,11124700,-0.8468686735179753,DOWN
2022-11-07,261.05999755859375,261.1499938964844,252.08999633789062,258.6000061035156,258.6000061035156,7927000,1.8446768045201178,UP
2022-11-08,259.9200134277344,266.0799865722656,256.8800048828125,263.4599914550781,263.4599914550781,7683800,-3.455582999458695,DOWN
2022-11-09,259.6600036621094,260.8999938964844,254.22000122070312,254.66000366210938,254.66000366210938,7266000,7.386259398636019,UP
2022-11-10,265.989990234375,275.3599853515625,260.0899963378906,274.9700012207031,274.9700012207031,9667300,5.225245030493387,UP
2022-11-11,274.4700012207031,290.6600036621094,271.55999755859375,290.1300048828125,290.1300048828125,9573800,3.0540931153781092,UP
2022-11-14,290.0,311.0,288.19000244140625,299.2699890136719,299.2699890136719,17978200,3.5235405426304545,UP
2022-11-15,309.20001220703125,312.7099914550781,302.54998779296875,310.20001220703125,310.20001220703125,14626900,-1.365931423902067,DOWN
2022-11-16,309.94000244140625,310.489990234375,303.6099853515625,306.0199890136719,306.0199890136719,8038600,-3.6372223918906377,DOWN
2022-11-17,294.7200012207031,299.82000732421875,291.0,295.2799987792969,295.2799987792969,9838200,-2.534893921271264,DOWN
2022-11-18,297.3299865722656,298.0,287.0,287.9800109863281,287.9800109863281,8400100,-1.0278980244992741,DOWN
2022-11-21,291.0,291.8699951171875,282.6600036621094,285.04998779296875,285.04998779296875,7256500,0.5720515659672132,UP
2022-11-22,284.989990234375,286.9800109863281,277.3399963378906,286.69000244140625,286.69000244140625,6245100,1.6500849257611527,UP
2022-11-23,285.9100036621094,292.4700012207031,283.760009765625,291.5,291.5,5919000,-2.087270181663703,DOWN
2022-11-25,289.0,289.2099914550781,284.1700134277344,285.5400085449219,285.5400085449219,3236000,-1.5542180561550767,DOWN
2022-11-28,284.0,289.54998779296875,280.5299987792969,281.1700134277344,281.1700134277344,4703400,-0.0747515586004166,DOWN
2022-11-29,282.5,282.9599914550781,275.94000244140625,280.9599914550781,280.9599914550781,5786900,8.041765922293997,UP
2022-11-30,281.3699951171875,308.260009765625,280.4100036621094,305.5299987792969,305.5299987792969,16070100,3.6030960681190494,UP
2022-12-01,303.989990234375,319.79998779296875,303.0299987792969,316.95001220703125,316.95001220703125,14664900,1.0798637419345058,UP
2022-12-02,310.489990234375,321.989990234375,310.0,320.4100036621094,320.4100036621094,12690600,-2.5016818886826497,DOWN
2022-12-05,316.4599914550781,322.7699890136719,310.9200134277344,312.5899963378906,312.5899963378906,8423000,-2.300693426975431,DOWN
2022-12-06,311.0,313.2200012207031,303.1300048828125,305.55999755859375,305.55999755859375,7195400,0.9273120240657629,UP
2022-12-07,306.5,309.6099853515625,302.1000061035156,308.4200134277344,308.4200134277344,7821600,0.5930497904904297,UP
2022-12-08,309.1099853515625,312.3800048828125,304.80999755859375,310.260009765625,310.260009765625,7205300,3.0467796951541892,UP
2022-12-09,321.45001220703125,329.0,319.5199890136719,320.010009765625,320.010009765625,14364000,-1.5324631011119694,DOWN
2022-12-12,320.0,323.17999267578125,308.8500061035156,315.17999267578125,315.17999267578125,10148600,1.6107896987882397,UP
2022-12-13,328.0,332.7200012207031,317.20001220703125,320.3399963378906,320.3399963378906,10756400,-0.7897334649555665,DOWN
2022-12-14,318.9700012207031,324.7099914550781,314.4200134277344,317.8299865722656,317.8299865722656,7543300,-9.441817624870552,DOWN
2022-12-15,302.1199951171875,303.3900146484375,286.54998779296875,290.4100036621094,290.4100036621094,17724600,0.10319142849795071,UP
2022-12-16,288.760009765625,294.7200012207031,288.70001220703125,290.7099914550781,290.7099914550781,14080000,-0.8359360957864492,DOWN
2022-12-19,289.7300109863281,292.25,286.1300048828125,288.29998779296875,288.29998779296875,6163700,-0.03816418010018641,DOWN
2022-12-20,281.239990234375,289.2799987792969,280.80999755859375,288.19000244140625,288.19000244140625,6918100,3.278960026129829,UP
2022-12-21,289.989990234375,300.6600036621094,286.5,297.9599914550781,297.9599914550781,6376200,-0.07052609742337346,DOWN
2022-12-22,298.0899963378906,298.8800048828125,290.80999755859375,297.75,297.75,7856200,-0.9458938926456995,DOWN
2022-12-23,296.17999267578125,298.4599914550781,291.9100036621094,294.9599914550781,294.9599914550781,4251100,-3.7970149971815026,DOWN
2022-12-27,293.19000244140625,293.57000732421875,282.1300048828125,284.1700134277344,284.1700134277344,5778100,-2.6329126034244865,DOWN
2022-12-28,281.9200134277344,285.19000244140625,273.4100036621094,276.8800048828125,276.8800048828125,5964400,4.891450423610655,UP
2022-12-29,283.17999267578125,295.5,281.010009765625,291.1199951171875,291.1199951171875,9588500,1.2750982444941439,UP
2022-12-30,285.5299987792969,295.010009765625,283.2200012207031,294.8800048828125,294.8800048828125,7566900,0.02373531829847897,UP
2023-01-03,298.05999755859375,298.3900146484375,288.70001220703125,294.95001220703125,294.95001220703125,6764000,4.673407867855861,UP
2023-01-04,298.239990234375,311.1400146484375,295.510009765625,309.4100036621094,309.4100036621094,9345100,0.09364176089473597,UP
2023-01-05,307.0,314.17999267578125,304.54998779296875,309.70001220703125,309.70001220703125,8328400,1.8538982133555537,UP
2023-01-06,311.57000732421875,316.7699890136719,303.69000244140625,315.54998779296875,315.54998779296875,8959800,-0.12056171242367242,DOWN
2023-01-09,316.8299865722656,321.70001220703125,313.2200012207031,315.1700134277344,315.1700134277344,6766600,3.776636378603182,UP
2023-01-10,311.07000732421875,329.3500061035156,311.07000732421875,327.5400085449219,327.5400085449219,13072300,-0.08555850728519943,DOWN
2023-01-11,326.5,328.8800048828125,321.3500061035156,327.260009765625,327.260009765625,9579700,0.8693530047976905,UP
2023-01-12,332.5,332.95001220703125,323.1400146484375,330.1300048828125,330.1300048828125,10856200,0.8082454125979743,UP
2023-01-13,329.9700012207031,336.6499938964844,328.8900146484375,332.82000732421875,332.82000732421875,8286800,-2.0231764081965142,DOWN
2023-01-17,331.0799865722656,332.5,323.6000061035156,326.2200012207031,326.2200012207031,9247000,0.033703722026212635,UP
2023-01-18,326.75,330.0799865722656,321.25,326.3299865722656,326.3299865722656,7814100,-3.3409297085792655,DOWN
2023-01-19,322.57000732421875,324.8900146484375,313.3900146484375,315.7799987792969,315.7799987792969,18008200,7.801460210424271,UP
2023-01-20,336.7900085449219,344.0,332.6300048828125,342.5,342.5,28430300,4.174364296125521,UP
